short_code,full_code,codeName,marketCode,marketName,marketEngName,ord1,ord2
413630,KR7413630005,유진스팩8호,KSQ,코스닥,KOSDAQ,,16
442130,KR7442130001,유진스팩9호,KSQ,코스닥,KOSDAQ,,16
084370,KR7084370006,유진테크,KSQ,코스닥,KOSDAQ GLOBAL,,16
240600,KR7240600007,유진테크놀로지,KSQ,코스닥,KOSDAQ,,16
001200,KR7001200005,유진투자증권,STK,유가증권,KOSPI,,16
221800,KR7221800006,유투바이오,KSQ,코스닥,KOSDAQ,,16
179900,KR7179900006,유티아이,KSQ,코스닥,KOSDAQ,,16
263050,KR7263050007,유틸렉스,KSQ,코스닥,KOSDAQ,,16
000100,KR7000100008,유한양행,STK,유가증권,KOSPI,,16
000105,KR7000101006,유한양행우,STK,유가증권,KOSPI,,16
003460,KR7003460003,유화증권,STK,유가증권,KOSPI,,16
003465,KR7003461001,유화증권우,STK,유가증권,KOSPI,,16
191410,KR7191410000,육일씨엔에쓰,KSQ,코스닥,KOSDAQ,,16
372170,KR7372170001,윤성에프앤씨,KSQ,코스닥,KOSDAQ,,16
146060,KR7146060009,율촌,KSQ,코스닥,KOSDAQ,,16
008730,KR7008730004,율촌화학,STK,유가증권,KOSPI,,16
072770,KR7072770001,율호,KSQ,코스닥,KOSDAQ,,16
008250,KR7008250003,이건산업,STK,유가증권,KOSPI,,16
039020,KR7039020003,이건홀딩스,KSQ,코스닥,KOSDAQ,,16
025820,KR7025820002,이구산업,STK,유가증권,KOSPI,,16
067920,KR7067920009,이글루,KSQ,코스닥,KOSDAQ,,16
044960,KR7044960003,이글벳,KSQ,코스닥,KOSDAQ,,16
303530,KR7303530000,이노뎁,KSQ,코스닥,KOSDAQ,,16
296640,KR7296640006,이노룰스,KSQ,코스닥,KOSDAQ,,16
302430,KR7302430004,이노메트리,KSQ,코스닥,KOSDAQ,,16
279060,KR7279060008,이노벡스,KNX,코넥스,KONEX,,16
214320,KR7214320004,이노션,STK,유가증권,KOSPI,,16
274400,KR7274400001,이노시뮬레이션,KSQ,코스닥,KOSDAQ,,16
056090,KR7056090004,이노시스,KSQ,코스닥,KOSDAQ,,16
073490,KR7073490005,이노와이어리스,KSQ,코스닥,KOSDAQ,,16
215790,KR7215790007,이노인스트루먼트,KSQ,코스닥,KOSDAQ,,16
